"code",approved,flag,category,subcat,title,author,year,isbn,other_info,comments
"carowyn",1,0,"JEWELRY BOOKS","","Islamic Jewelry in the Metropolitan Museum of Art","Marilyn Jenkins &amp; Manuel Keene","","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Italian Jeweled Arts","Filippo Rossi","1954","Electra Edifice / Milan","",""
"carowyn",1,0,"JEWELRY BOOKS","","Ivories of the West","Massimo Carra","1966","sbn 600-348-024 (Cameo Books)","",""
"carowyn",1,0,"JEWELRY BOOKS","","Jewellery","Museum of the Ethnography of the Peoples of the USSR","1988","ISBN 5-7300-0235-1","",""
"carowyn",1,0,"JEWELRY BOOKS","","Jewellery","Peter Hinks","1969","Hamlyn Publishing Group / London","",""
"carowyn",1,0,"JEWELRY BOOKS","","Jewellery Through 7000 Years","British Museum","1976","ISBN 0-7141-0055-2","",""
"carowyn",1,0,"JEWELRY BOOKS","","The Jeweller's Art","Hugh Tait &amp; Charlotte Gere","1978","ISBN 0-7141-1349-2","",""
"carowyn",1,0,"JEWELRY BOOKS","","The Jewelry Design Source Book","various","1989","ISBN 0-442-23828-2","",""
"carowyn",1,0,"JEWELRY BOOKS","","The Jewelry Engravers Manual","R allen Hardy &amp; John J Bowman","1976","ISBN 0-486-28154-X","",""
"carowyn",1,0,"JEWELRY BOOKS","","Jewelry: The Smithsonian Illustrated Library of Antiques","Marie-Louise d'Otrange Mastai","","LCC 78-62730","",""
"carowyn",1,0,"JEWELRY BOOKS","","Jewelry Through the Ages","Guido Gregorietti","","LCC 74-83809","",""
"carowyn",1,0,"JEWELRY BOOKS","","Jewelry of the Prehistoric Southwest","E Wesley Jernigan","1978","ISBN 0-8263-0459-1","",""
"carowyn",1,0,"JEWELRY BOOKS","","Jewels and Jewelry","Clare Phillips","2000","ISBN 0-8230-2584-5","",""
"carowyn",1,0,"JEWELRY BOOKS","","Jewels in Spain 1500-1800","Priscilla E Muller","1972","Hispanic Society of America","",""
"carowyn",1,0,"JEWELRY BOOKS","","Jin Yin: Ancient Chinese Gold","the rest is in Chinese, so unknown","","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Joyas","Joan Frank","","ISBN 84-7489-007-1","",""
"carowyn",1,0,"JEWELRY BOOKS","","Kremlin Gold: 1000 Years of Russian Gems &amp; Jewels","Harry N Abrams distributor","2000","isbn 0-9640348-0-8","",""
"carowyn",1,0,"JEWELRY BOOKS","","Magnificent Jewelry","Parke-Bernet Galleries - New York","12/9/70","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Magnificent Jewelry","Sotheby's","4/16/86","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Magnificent Jewelry","Sotheby's","4/27/87","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Magnificent Jewelry","Sotheby's","6/15/87","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Magnificent Jewels","Christie's - New York","10/23/95","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Magnificent Precious Stone Jewelry","Parke-Bernet Galleries - New York","4/10/69","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Masterpieces of the J Paul Getty Museum","Antiquities Department","1997","ISBN 0-89236-420-3","",""
"carowyn",1,1,"JEWELRY BOOKS","","Medieval European Jewellery","Ronald W Lightbown - Victoria &amp; Albert Museum","1992","ISBN 0-948107-87-1","",""
"carowyn",1,0,"JEWELRY BOOKS","","Mediaeval Jewelery","Metropolitan Museum of Art","1940","New York (booklet)","",""
"carowyn",1,0,"JEWELRY BOOKS","","Medieval Jewelry","Metropolitan Museum of Art","1940","Met / New York","",""
"carowyn",1,0,"JEWELRY BOOKS","","Metropolitan Jewelry","Sophie McConnell","1991","isbn 0-87099-616-9","",""
"carowyn",1,0,"JEWELRY BOOKS","","Museum of Jewelry Collector's Reference Edition","","2000","","",""
"carowyn",1,0,"JEWELRY BOOKS","","The Melvin Gutman Jewelry Part I","Parke-Bernet Galleries","4/24/69","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Objects of Adornment: Five Thousand Years of Jewelry from the Walthers Art Gallery, Baltimore","Walthers Art Gallery","1984","ISBN 0-917481-76-X","",""
"carowyn",1,0,"JEWELRY BOOKS","","Palace of Gold &amp; Light: Treasures from the Topkapi<!-- or possibly Topkapu ? -->, Istanbul","Palace Arts Foundation","2000","ISBN 0-9678639-0-2","",""
"carowyn",1,0,"JEWELRY BOOKS","","Pilgrim Souvenirs and Secular Badges","Brian Spencer","1998","ISBN 0-11-290574-9","",""
"carowyn",1,0,"JEWELRY BOOKS","","The Pleasure of Jewelry and Gemstones","Joseph Sataloff &amp; Alison Richards","1975","isbn 0-7064-0384-3","",""
"carowyn",1,0,"JEWELRY BOOKS","","Princely Magnificence: Court Jewels of the Renaissance, 1500-1630","Debrett's Peerage Ltd in association with The Victoria &amp; Albert Museum","1980","ISBN 0-905649-42-7","",""
"carowyn",1,0,"JEWELRY BOOKS","","The Queen's Jewels","Leslie Field","1987","isbn 0-297-79140-0","",""
"carowyn",1,0,"JEWELRY BOOKS","","The Rogozen Treasure","B.F. Cook ed.","1989","isbn 0-7141-1286-0","",""
"carowyn",1,0,"JEWELRY BOOKS","","Sentimental Jewelry","Ann Louise Luthi","","ISBN 0-7478-0363-3","",""
"carowyn",1,0,"JEWELRY BOOKS","","Son of Heaven: Imperial Arts of China","Robert L Thorp","1988","ISBN 0-929209-01-X","",""
"carowyn",1,0,"JEWELRY BOOKS","","Spain: A Heritage Rediscovered","Ariadne Galleries / New York and Meadows Museum / Dallas","","no ISBN","",""
"carowyn",1,0,"JEWELRY BOOKS","","Treasures of Early Irish Art 1500 BC to 1500 AD","Met exhibit","1977","ISBN 0-87099-164-7","",""
"carowyn",1,0,"JEWELRY BOOKS","","Valuable Precious Stone Jewelry","Parke-Bernet Galleries - New York","2/2/67","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Viking Jewelry","","","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Antique Jewellery and Rings","Christie's - South Kensington","4/21/98",""
"carowyn",1,0,"JEWELRY BOOKS","","Renaissance Jewelry","The Metropolitan Museum of Art","1940","New York (B)","",""
"carowyn",1,0,"JEWELRY BOOKS","","Anglo-Saxon Jewellery","Ronald Jessup","1974","isbn 0-85263-262-2","",""
"carowyn",1,0,"JEWELRY BOOKS","","Codognato","Pierre Hebey","1980","isbn 2-84323-400-x","",""
"carowyn",1,0,"JEWELRY BOOKS","","Mediaeval Jewelry","The Metropolitan Museum of Art","1940","New York (B)","",""
"carowyn",1,0,"JEWELRY BOOKS","","Catalogue of the Well Known Collection of Renaissance Jewelry (Martin J Desmoni)","Sotheby's","5/17/60","","",""
"carowyn",1,0,"JEWELRY BOOKS","","The Cheapside Hoard of Elizabethan &amp; Jacobean Jewellery","London Museum Catalogues #2","1928","Lancaster House / Saint James","",""
"carowyn",1,0,"JEWELRY BOOKS","","Bedazzled: 5000 Years of Jewelry","The Walters Art Museum / Sabine Albersmeier","2005","isbn 1-904832-16-4","",""
"carowyn",1,0,"JEWELRY BOOKS","","Tiaras Past and Present","Geoffrey Munn","2002","isbn 0-8109-6594-1","",""
"carowyn",1,0,"JEWELRY BOOKS","","Ancient Jewelry","Christie's - New York","12/8/05","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Greek Gold: Jewelry From the Age of Alexander","Herbert Hoffman &amp; Patricia F Davidson","1965","lcc 65-26949","",""
"carowyn",1,0,"JEWELRY BOOKS","","Ornament &amp; Jewellery","Klement Benda","1967","Svoboda / Prague","",""
"carowyn",1,0,"JEWELRY BOOKS","","Earrings From Antiquit to the Present","Daniela Mascetti &amp; Amanda Triossi","1990","isbn 0-500-28161-0","",""
"carowyn",1,0,"JEWELRY BOOKS","","Ancient Jewelry","Christie's - New York","12/8/99","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Finger Rings From Ancient Egypt to the Present Day","Gerald Taylor &amp; Diana Scarisbrick","1978","isbn 0-900090-54-5","",""
"carowyn",1,0,"JEWELRY BOOKS","","Jet Jewellery &amp; Ornaments","Helen Muller","1980","isbn 0-85263-503-6","Shire Publications",""
"carowyn",1,0,"JEWELRY BOOKS","","Chats on Old Jewellery and Trinkets","MacIver Percival","no date, likely 18th cent","Frederick Stokes Co / NYC","",""
"carowyn",1,0,"JEWELRY BOOKS","","The Triumph of Love: Jewelry 1530-1930","Geoffrey C Munn","1993","isbn 0-500-23661-5","",""
"carowyn",1,0,"JEWELRY BOOKS","","Jewellery","Christie's - London","4/4/01","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Jewels of the Pharaohs","Cyril Aldred","1971","Thames &amp; Hudson","",""
"carowyn",1,0,"JEWELRY BOOKS","","Important Jewels","Sotheby's - New York","6/12/02","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Fine Jewels and Watches","Sotheby's - Chicago","9/28/98","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Jewels of the Late Gabriele Murdock","Sotheby's - New York","12/7/99","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Magnificent Jewellery and Jadeite Jewellery","Christie's - Hong Kong","11/1/00","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Gold, Bronze and Amber Ornaments Found Together Near Banagher, King's Country","E Armstrong","1918","Proceedings of the Society of Antiquaries, London","",""
"carowyn",1,0,"JEWELRY BOOKS","","Rings for the Finger","George Frederick Kunz","1945","isbn 0-486-22226-8","",""
"carowyn",1,0,"JEWELRY BOOKS","","A History of Jewellery 1100-1870","Joan Evans","1970","isbn 0-486-26122-0","",""
"carowyn",1,0,"JEWELRY BOOKS","","Medieval Goldsmiths' Work","Isa Belli Barsali","1969","Hamlyn / Cameo Books","",""
"carowyn",1,0,"JEWELRY BOOKS","","Jewelry from Antiquity to the Present","Clare Phillips","1996","isbn 0-500-20287-7","",""
"carowyn",1,0,"JEWELRY BOOKS","","Early Medieval Art","John Beckwith","1964","lcc 64-19953","",""
"carowyn",1,0,"JEWELRY BOOKS","","The Design and Creation of Jewelry","Robert von Neumann","1972","isbn 0-8019-6054-4","",""
"carowyn",1,0,"JEWELRY BOOKS","","Collector's Compass: Jewelry","Martingale &amp; Company","2000","isbn 1-56477-345-0","",""
"carowyn",1,0,"JEWELRY BOOKS","","Silver Jewelry Treasures","Nancy N Schiffer","2001","isbn 0-7643-1365-7","",""
